"","X","Year","Month","variable","value"
"1",1,2007,1,"All",1150287.16666667
"2",2,2007,2,"All",941582.966666667
"3",3,2007,3,"All",981042.9
"4",4,2007,4,"All",586357.766666667
"5",5,2007,5,"All",733481.2
"6",6,2007,6,"All",595358.466666667
"7",7,2007,7,"All",497091.2
"8",8,2007,8,"All",568348.466666667
"9",9,2007,9,"All",697997.9
"10",10,2007,10,"All",821335.433333333
"11",11,2007,11,"All",932037.366666667
"12",12,2007,12,"All",1210092.1
"13",13,2008,1,"All",1086230.6
"14",14,2008,2,"All",822299.666666667
"15",15,2008,3,"All",926536.633333333
"16",16,2008,4,"All",803499.866666667
"17",17,2008,5,"All",762082.6
"18",18,2008,6,"All",715746.533333333
"19",19,2008,7,"All",591304.966666667
"20",20,2008,8,"All",205740.1
"21",21,2008,9,"All",711129.866666667
"22",22,2008,10,"All",846162.2
"23",23,2008,11,"All",998917.2
"24",24,2008,12,"All",949303.2
"25",25,2009,1,"All",1049258.63333333
"26",26,2009,2,"All",837615.433333333
"27",27,2009,3,"All",912787.066666667
"28",28,2009,4,"All",821280.4
"29",29,2009,5,"All",753535.6
"30",30,2009,6,"All",559033
"31",31,2009,7,"All",459932.866666667
"32",32,2009,8,"All",484606.733333333
"33",33,2009,9,"All",710553.9
"34",34,2009,10,"All",851489.533333333
"35",35,2009,11,"All",917843.166666667
"36",36,2009,12,"All",1015146.03333333
"37",37,2010,1,"All",989760.333333333
"38",38,2010,2,"All",924616.866666667
"39",39,2010,3,"All",802598.3
"40",40,2010,4,"All",739641.1
"41",41,2010,5,"All",814902.833333333
"42",42,2010,6,"All",698124.5
"43",43,2010,7,"All",536506.766666667
"44",44,2010,8,"All",368389.566666667
"45",45,2010,9,"All",605157.066666667
"46",46,2010,10,"All",865589.966666667
"47",47,2010,11,"All",743306.466666667
